dataset,reuse_target,actual_reuse,main_memory_gb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
quora,1.91,1.9085499219403081,16,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,16,dram_lfu,DRAM LFU,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,16,opt,OPT,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
fever,2.41,2.402818024979696,1,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fever,2.41,2.402818024979696,1,dram_lfu,DRAM LFU,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,1,opt,OPT,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,2,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fever,2.41,2.402818024979696,2,dram_lfu,DRAM LFU,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,2,opt,OPT,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,4,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fever,2.41,2.402818024979696,4,dram_lfu,DRAM LFU,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,4,opt,OPT,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,8,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fever,2.41,2.402818024979696,8,dram_lfu,DRAM LFU,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,8,opt,OPT,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,16,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fever,2.41,2.402818024979696,16,dram_lfu,DRAM LFU,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fever,2.41,2.402818024979696,16,opt,OPT,0,583822,416178,0.583822,0.0,0.583822,0.416178,58.90482,41619.425814332244,589.0482,416.19425814332243
fiqa,4.47,4.328123715088272,1,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,1,dram_lfu,DRAM LFU,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,1,opt,OPT,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,2,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,2,dram_lfu,DRAM LFU,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,2,opt,OPT,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,4,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,4,dram_lfu,DRAM LFU,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,4,opt,OPT,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,8,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,8,dram_lfu,DRAM LFU,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,8,opt,OPT,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,16,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,16,dram_lfu,DRAM LFU,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,16,opt,OPT,0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
