dataset,reuse_target,actual_reuse,main_memory_gb,global_buffer_mb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
scidocs,1.73,1.7295502304625683,16,128,lfu_l1,LFU L1 (SRAM),310628,0,689372,0.310628,0.310628,0.0,0.689372,48.220016023039996,68938.43727637785,482.20016023039994,689.3843727637785
scidocs,1.73,1.7295502304625683,16,128,lfu_l2,LFU L2 (DRAM),0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,16,128,lfu_l1_l2,LFU L1/L2,310628,111187,578185,0.421815,0.310628,0.111187,0.578185,47.10814602304001,57819.73727637785,471.0814602304,578.1973727637785
scidocs,1.73,1.7295502304625683,16,128,opt_two_tier,OPT L1/L2,341752,80063,578185,0.421815,0.341752,0.080063,0.578185,45.76382825536,57819.69834603257,457.63828255360005,578.1969834603258
quora,1.91,1.9085499219403081,1,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,1,128,lfu_l1,LFU L1 (SRAM),385507,0,614493,0.385507,0.385507,0.0,0.614493,44.237028293760005,61450.443616651464,442.37028293760005,614.5044361665147
quora,1.91,1.9085499219403081,1,128,lfu_l2,LFU L2 (DRAM),0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,1,128,lfu_l1_l2,LFU L1/L2,385507,90535,523958,0.476042,0.385507,0.090535,0.523958,43.33167829376,52396.943616651464,433.31678293759995,523.9694361665147
quora,1.91,1.9085499219403081,1,128,opt_two_tier,OPT L1/L2,411153,64889,523958,0.476042,0.411153,0.064889,0.523958,42.223968055040004,52396.91153826709,422.2396805504,523.9691153826709
quora,1.91,1.9085499219403081,2,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,2,128,lfu_l1,LFU L1 (SRAM),385507,0,614493,0.385507,0.385507,0.0,0.614493,44.237028293760005,61450.443616651464,442.37028293760005,614.5044361665147
quora,1.91,1.9085499219403081,2,128,lfu_l2,LFU L2 (DRAM),0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,2,128,lfu_l1_l2,LFU L1/L2,385507,90535,523958,0.476042,0.385507,0.090535,0.523958,43.33167829376,52396.943616651464,433.31678293759995,523.9694361665147
quora,1.91,1.9085499219403081,2,128,opt_two_tier,OPT L1/L2,411153,64889,523958,0.476042,0.411153,0.064889,0.523958,42.223968055040004,52396.91153826709,422.2396805504,523.9691153826709
quora,1.91,1.9085499219403081,4,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,4,128,lfu_l1,LFU L1 (SRAM),385507,0,614493,0.385507,0.385507,0.0,0.614493,44.237028293760005,61450.443616651464,442.37028293760005,614.5044361665147
quora,1.91,1.9085499219403081,4,128,lfu_l2,LFU L2 (DRAM),0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,4,128,lfu_l1_l2,LFU L1/L2,385507,90535,523958,0.476042,0.385507,0.090535,0.523958,43.33167829376,52396.943616651464,433.31678293759995,523.9694361665147
quora,1.91,1.9085499219403081,4,128,opt_two_tier,OPT L1/L2,411153,64889,523958,0.476042,0.411153,0.064889,0.523958,42.223968055040004,52396.91153826709,422.2396805504,523.9691153826709
quora,1.91,1.9085499219403081,8,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,8,128,lfu_l1,LFU L1 (SRAM),385507,0,614493,0.385507,0.385507,0.0,0.614493,44.237028293760005,61450.443616651464,442.37028293760005,614.5044361665147
quora,1.91,1.9085499219403081,8,128,lfu_l2,LFU L2 (DRAM),0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,8,128,lfu_l1_l2,LFU L1/L2,385507,90535,523958,0.476042,0.385507,0.090535,0.523958,43.33167829376,52396.943616651464,433.31678293759995,523.9694361665147
quora,1.91,1.9085499219403081,8,128,opt_two_tier,OPT L1/L2,411153,64889,523958,0.476042,0.411153,0.064889,0.523958,42.223968055040004,52396.91153826709,422.2396805504,523.9691153826709
